Alignment Ratings Heatmap,,,,,,,,,,All verifications,,,,,,,,,,,All verifications,,,,,
Client,Principle 1,Principle 2,Principle 3,Principle 4,Principle 5,Principle 6,Principle 7,Principle 8,,Client,Principle 1,Principle 2,Principle 3,Principle 4,Principle 5,Principle 6,Principle 7,Principle 8,Alignment Score,,Client,Covered Assets AUM,Total AUM,Start Year,Investor Type,Target geography(s)
Client,Principle 1,Principle 2,Principle 3,Principle 4,Principle 5,Principle 6,Principle 7,Principle 8,,,,,,,,,,,,,Client,Covered Assets AUM,Total AUM,Start Year,Investor Type,Target geography(s)
BCDI 2020,ADVANCED,ADVANCED,ADVANCED,ADVANCED,ADVANCED,ADVANCED,ADVANCED,ADVANCED,,BCDI 2020,4,4,4,4,4,4,4,4,,,BCDI 2020,800000000,1.2E+11,2016,Asset Manager (For-profit diversified),Developed markets
Big Society Capital 2021,ADVANCED,ADVANCED,ADVANCED,HIGH,MODERATE,ADVANCED,HIGH,HIGH,,Big Society Capital 2021,4,4,4,3,2,4,3,3,27,,Big Society Capital 2021,640489666.9,640489666.9,2012,Other,Developed markets
BlueOrchard 2020,HIGH,HIGH,HIGH,HIGH,HIGH,MODERATE,MODERATE,MODERATE,,BlueOrchard 2020,3,3,3,3,3,2,2,2,21,,BlueOrchard 2020,2414291450,4000000000,2001,Asset Manager (For-profit impact-only),Emerging markets
Calvert Impact Capital 2020,ADVANCED,ADVANCED,ADVANCED,ADVANCED,MODERATE,HIGH,ADVANCED,ADVANCED,,Calvert Impact Capital 2020,4,4,4,4,2,3,4,4,29,,Calvert Impact Capital 2020,415900000,415900000,1988,Asset Manager (Non-profit impact manager),Both
CDC 2020,ADVANCED,HIGH,ADVANCED,ADVANCED,ADVANCED,ADVANCED,MODERATE,ADVANCED,,CDC 2020,4,3,4,4,4,4,2,4,29,,CDC 2020,5377948601,5552000000,1999,Asset allocator (Development agency / DFI),Emerging markets
CIM 2020,ADVANCED,HIGH,MODERATE,HIGH,LOW,MODERATE,MODERATE,MODERATE,,CIM 2020,4,3,2,3,1,2,2,2,19,,CIM 2020,1000000000,1000000000,2014,Community development finance institution (CDFI),Developed markets
Closed Loop 2020,HIGH,HIGH,HIGH,MODERATE,MODERATE,MODERATE,LOW,MODERATE,,Closed Loop 2020,3,3,3,2,2,2,1,2,18,,Closed Loop 2020,50000000,123000000,2014,Asset Manager (For-profit impact-only),Developed markets
Credit Suisse 2020,MODERATE,MODERATE,LOW,MODERATE,LOW,LOW,LOW,LOW,,Credit Suisse 2020,2,2,1,2,1,1,1,1,11,,Credit Suisse 2020,4266000000,8.67762E+11,2016,Asset Manager (For-profit diversified),Both
DEG 2021,HIGH,ADVANCED,MODERATE,HIGH,ADVANCED,HIGH,LOW,MODERATE,,DEG 2021,3,4,2,3,4,3,1,2,22,,DEG 2021,10000000000,10000000000,2016,Asset allocator (Development agency / DFI),Emerging markets
EBRD 2020,ADVANCED,ADVANCED,ADVANCED,ADVANCED,ADVANCED,ADVANCED,MODERATE,HIGH,,EBRD 2020,4,4,4,4,4,4,2,3,29,,EBRD 2020,51702000000,59150000000,1991,Asset allocator (Development agency / DFI),Emerging markets
EDFI MC 2020,ADVANCED,HIGH,HIGH,MODERATE,ADVANCED,ADVANCED,LOW,MODERATE,,EDFI MC 2020,4,3,3,2,4,4,1,2,23,,EDFI MC 2020,275000000,275000000,2016,Asset allocator (Development agency / DFI),Emerging markets
FinDev Canada 2021,HIGH,ADVANCED,HIGH,HIGH,ADVANCED,HIGH,LOW,MODERATE,,FinDev Canada 2021,3,4,3,3,4,3,1,2,23,,FinDev Canada 2021,142000000,142000000,2018,Asset allocator (Development agency / DFI),Emerging markets
