Alignment Ratings Heatmap,,,,,,,,,,All verifications,,,,,,,,,,,All verifications,,,,,
Client,Principle 1,Principle 2,Principle 3,Principle 4,Principle 5,Principle 6,Principle 7,Principle 8,,Client,Principle 1,Principle 2,Principle 3,Principle 4,Principle 5,Principle 6,Principle 7,Principle 8,Alignment Score,,Client,Covered Assets AUM,Total AUM,Start Year,Investor Type,Target geography(s)
Client,Principle 1,Principle 2,Principle 3,Principle 4,Principle 5,Principle 6,Principle 7,Principle 8,,,,,,,,,,,,,Client,Covered Assets AUM,Total AUM,Start Year,Investor Type,Target geography(s)
Acqua Group,ADVANCED,ADVANCED,ADVANCED,ADVANCED,ADVANCED,ADVANCED,ADVANCED,ADVANCED,,Acqua Group,4,4,4,4,4,4,4,4,,,Acqua Group,800000000,1.20E+11,2016,Asset Manager (For-profit diversified),Developed markets
Alexander and Alexander,ADVANCED,ADVANCED,ADVANCED,HIGH,MODERATE,ADVANCED,HIGH,HIGH,,Alexander and Alexander,4,4,4,3,2,4,3,3,27,,Alexander and Alexander,640489666.9,640489666.9,2012,Other,Developed markets
Binswanger,HIGH,HIGH,HIGH,HIGH,HIGH,MODERATE,MODERATE,MODERATE,,Binswanger,3,3,3,3,3,2,2,2,21,,Binswanger,2414291450,4000000000,2001,Asset Manager (For-profit impact-only),Emerging markets
Centerline Engineering,ADVANCED,ADVANCED,ADVANCED,ADVANCED,MODERATE,HIGH,ADVANCED,ADVANCED,,Centerline Engineering,4,4,4,4,2,3,4,4,29,,Centerline Engineering,415900000,415900000,1988,Asset Manager (Non-profit impact manager),Both
Corn Popper,ADVANCED,HIGH,ADVANCED,ADVANCED,ADVANCED,ADVANCED,MODERATE,ADVANCED,,Corn Popper,4,3,4,4,4,4,2,4,29,,Corn Popper,5377948601,5552000000,1999,Asset allocator (Development agency / DFI),Emerging markets
Courtyard By Marriott,ADVANCED,HIGH,MODERATE,HIGH,LOW,MODERATE,MODERATE,MODERATE,,Courtyard By Marriott,4,3,2,3,1,2,2,2,19,,Courtyard By Marriott,1000000000,1000000000,2014,Community development finance institution (CDFI),Developed markets
Cummins Southern Plains,HIGH,HIGH,HIGH,MODERATE,MODERATE,MODERATE,LOW,MODERATE,,Cummins Southern Plains,3,3,3,2,2,2,1,2,18,,Cummins Southern Plains,50000000,123000000,2014,Asset Manager (For-profit impact-only),Developed markets
Dunnells and Duvall,MODERATE,MODERATE,LOW,MODERATE,LOW,LOW,LOW,LOW,,Dunnells and Duvall,2,2,1,2,1,1,1,1,11,,Dunnells and Duvall,4266000000,8.68E+11,2016,Asset Manager (For-profit diversified),Both
Eagle Software,HIGH,ADVANCED,MODERATE,HIGH,ADVANCED,HIGH,LOW,MODERATE,,Eagle Software,3,4,2,3,4,3,1,2,22,,Eagle Software,10000000000,10000000000,2016,Asset allocator (Development agency / DFI),Emerging markets
