,All verifications,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Client,Principle 4,Investor Type,4A,4A_Comment,4B,4B_Comment,4C,4C_Comment,4D,4D_Comment,4E,4E_Comment,4F_i,4F_ii,4F_iii,4F_iv,4F_v,4F_total,4F_Comment,4G_i,4G_ii,4G_iii,4G_iv,4G_v,4G_total,4G_Comment,,"4C.a.i What approach has the Manager taken to assess expected impact? (Select All That Apply)
> Expected performance on impact metrics/targets",4C.a.ii > Assessment of impact dimensions (structured or unstructured),"4C.a.iii
> Unstructured assessment of impact dimensions (e.g., qualitative)","4C.a.iv
> Structured assessment of impact dimensions (e.g., rating scale, predefined categories, H/M/L)","4C.a.v
> Aggregate impact score/rating","4C.a.vi
> Impact monetization (i.e., dollar value of impact)","4E.a.i To which industry standards has the Manager aligned its impact indicators? (Select All That Apply)
> HIPSO","4E.a.ii
> IRIS","4E.a.iii
> B Impact Assessment / GIIRS Ratings","4E.a.iv
> GRI","4E.a.v
> Other (Open-ended response)",4Fv.a.i Does the manager assess expected enterprise contribution (as opposed to investor contribution) in the due diligence process?,4Fv.a.ii Does the manager assess all five of the IMP Dimensions of Impact (or the underlying concepts) in the due diligence process?
,Acqua Group,ADVANCED,Asset Manager (Diversified),Yes,>The Fund  and  each portfolio  company  will  utilize  the Global  Impact  Investing  Rating  System  (“GIIRS”)  for  comprehensive  impact  measurement;  and  each portfolio  company  will  manage  to  and  report  on  specific  impact  metrics  designe,Yes,">Interim & final impact fan of outcomes. Includes a description, forecasted metrics, key risks, key initiatives, company resources required, and BCDI resources required for the downside, base and upside case.   (Impact process & templates_vF, pg. 11)

>B ",Yes,">During the initial screen, deals are evaluated across impact scale and depth, intrinsic alignment, and double impact value-add potential. The deal team uses the impact screening tool, which is populated and tested with Jenny Snape. The impact screening t",Yes,">BCDI impact process: initial screen -> one-pager -> prelim IC -> interim IC -> final IC. 
>During the initial screen, deals are evaluated across impact scale and depth, intrinsic alignment, and double impact value-add potential. The deal team uses the im",Yes,">Bain  Capital  Double Impact also utilizes rigorous, standardized non-financial metrics and systems to assess the social and/or environmental outcomes of each investment and of the portfolio as a whole. PPM - Bain Capital Double Impact Fund II L.P. Posta",x,x,x,x,x,5,"i,ii,iii) During the initial screen, deals are evaluated across impact scale and depth, intrinsic alignment, and double impact value-add potential. The deal team uses the impact screening tool, which is populated and tested with Jenny Snape. The impact sc",x,x,x,x,(blank),4,"i. Rodeo Dental: 250k patients, 4500 new patients per month. Problem: ""low-income population limited access to high quality dental care, <50% of children on Medicaid received dental care in 2011."" (Rodeo Dental_Prelim IC vF, pg. 2)
-Rural Sourcing, Projec",,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,No,N/A,No
,Acqua Group,HIGH,Other,Yes,See 4.C,Yes,See 4.C,Yes,"DD Toolkit (3.11.1): Impact Tests include expected positive impact using the IMP dimensions
and expected systems change by the investment included in Systems Change Tests 

Impact Canvas (3.13) used as an assessment and monitoring tool (confirmed in Q&A).",Yes,"The framework of the IC Memo template (file 3.5) demonstrates that achievement of social impact and/or systems change is central to BSC's investment decision making - first the context/ social issue is discussed, then likely social impact and/or systems c",No,"BSC Intake survey response to Q 4D / 4E: Use of IRIS indicators 'very limited extent in housing' 
Kick off Q&A: Insert discussion on this from notes

In Housing Portfolio KPIs set could be explicitly harmonised with IRIS, there are relevant matches of ind",x,x,x,x,x,5,"DD Toolkit (3.11.1): Impact Tests include expected positive impact using the IMP dimensions What, How Much, Who, Contribution (Investment not Investor), Risk. 'Likelihood of achieving impact' corresponds with 'execution risk' in BSC's framing. 

Example t",x,(blank),(blank),x,(blank),2,"Relative sizing: BSC's framing on system TBC notes
Opportunities to Increase Impact: Not seen
Opportunities to mitigate impact delivery risks: Not seen
Indirect and Systemic Impacts: This is core to BSC's IM framework
Explicit use of industry best practic",,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,Yes
CT,Acqua Group,HIGH,Asset Manager (Impact Only),Yes,"""SPIRIT looks at 7 dimensions of social performance, aligned with the 6 dimensions of the Universal Standards on Social Performance Management, plus the 7th for Environment:
 Define and Monitor Social Goals
 Ensure Board, Management and Employee Commitm",Yes,"SPIRIT scorecard completed for every investment. Results of SPIRIT assessment included in IC memo in 3 separate locations: 
1. overall SPIRIT score in exec summary (checking it meets threshold)
2. Overview tiles section, 'Social Scorecard' box
3. Overview",Yes,"Results measurement framework comprised of SPIRIT scorecard, relevant memo sections (recommendation and strategy, social metrics, country assessment)

New B.Impact framework does use a results measurement framework grounded in the 5 dimensions - will like",Yes,"Review of SPIRIT questionnaire by BFIM team with pushback where necessary, final SPIRIT assessment incorporated into each IC memo. 

""SPIRIT scores are included in all credit proposals and reviewed by the Credit Committee as described in the Credit Proced",Yes,"Loan agreement requires investee to report ""relevant social performance indicators"" against the MIX SPI4 indicator framework. https://cerise-spm.org/en/spi4/ 
Where relevant pertains to indicators which are ""considered inline with the MFI's social mission",x,x,x,(blank),(blank),3,"i.
Described under MFI details box within summary tiles section of each IC memo and elaborated in later sections. Documented in loan agreements with investee as 'loan purpose'?

ii.
'Who' is assessed in SPIRIT, approved prior to the investment. Also inclu",x,(blank),(blank),(blank),N/A,1,"i
Covered in the country assessment summary tile in each IC memo, which includes metrics collected from World Bank datasets such as GNI per capita, % of population below national poverty line, and Poverty gap at $2 a day. As part of the country assessment",,No,Yes,No,Yes,Yes,No,No,No,No,No,MIX SPI4,No,No
CT,Acqua Group,ADVANCED,Asset Manager (Impact Only),Yes,"
CIC has a recently implemented Impact Scorecard completed by the investment officer as part of routine due dilignce. The current scorecard has been through numerous iterations to determine the correct questions, the importance of each metric to CIC's str",Yes,The scorecard has been used to analyze every investment in the CIC portfolio and will continue to be moving forward.Data from the scorecard is also a required part of the DD memo for all potenital new investments,Yes,"CIC's Impact Scorecard is implemented consistently to assess expected impact for each investment. Some baseline data is more qualitative - mainly around the portfolio and market impact - but where Community impact is concerned, quantitative data is collec",Yes,Impact rationale is required as part of the DD Investment memo for each investment and is based directly on findings from the Impact Scorecard. IOs are required to work with Impact FTE to screen potetial investment through the scorecard.  ,Yes,"see Doc. 9 instructions and definitions tab as well as sample sector strategy memos. Sector strategy memos serve as basis for metrics used in the Impact Scorecard and Annual Impact Report

Impact Scorecard dimensions are aligned with the IMP impact dimens",x,x,x,x,x,5,"CIC's Impact Scorecard was created specifically to address the answers to each of these 5 questions.  
The community impact tab is based on the IMP dimensions, and is organized by dimension of impact. See Doc 7b (Current Scorecard model)",(blank),x,x,(blank),N/A,2,"Q on relative sizing of challenge - still unsure here

[Lauren, I see where you're coming from. Do the literature reviews and assessments of market sizing/need that Caitlin uploaded address this first question in your mind?]",,Yes,Yes,No,Yes,Yes,No,No,Yes,No,No,"Aeris, CDFI Fund",Yes,Yes
CT,Acqua Group,ADVANCED,Asset Allocator (DFI),Yes,"""CDC has adopted a consistent structure and format for assessing and presenting analysis on DI in investment papers. This structure takes into account the six dimensions of impact that are part of CDC’s overarching Impact Framework: What, How, Who, How Mu",Yes,"'Impact Dashboard' (AKA DI Dashboard) is the template used for each investment-level ex-ante impact assessment (Impact Management Framework, pp. 14 - examples of completed templates on pp. 24, 29, 34). 

""Each IC paper for a new investment, regardless of ",Yes,"Impact Dashboard template = results measurement framework

""Impact dashboards and theses are specific to each investment and articulate the development impact that CDC expects from each transaction enabling effective decision making around impact. They se",Yes,"Impact Dashboards (structured according to the results framework fundamental questions) are presented to IC within deal memos and discussed at IC (various stages).

"" At the point of investment we focus on the impact achieved through the investment, not ",Yes,"Metrics' document highlights alignment of CDC indicators at the portfolio, sector, theme and investment levels with IRIS+ and HIPSO. CDC is highly active in contributing to industry-wide harmonization and standard-setting efforts, for example around indir",x,x,x,x,x,5,"""What - Describes the key outcome(s) of the investment linked to the relevant SDGs. There is one pillar per outcome.
These should be aligned to the relevant outcomes identified in the sector impact frameworks.
This tells us if we are on strategy and how s",x,x,(blank),x,N/A,3,"i.
Sector strategies detail the size of the challenge addressed in targeted geographies at the sector level. Not clear how this is addressed specifically at the investment level, however each investment would presumably be considered within the context of",,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,2X Challenge Indicators,No,No
CT,Acqua Group,HIGH,Other,Yes,"CIM has a DDQ template that is tweaked for each partner they work with. The DDQ has an impact section that is very high-level and includes impact metrics a lending partner should already have (e.g., borrower demographics). The DDQ is used as an 'opening s",Yes,"Investment Memos, DDQs",Yes,"-CIM addresses the WHAT, WHO dimensions of all its lending partnerships in its investment memo documents in a standardized way.

-In the Seed investment example, Seed estimates that approximately 53 million Americans do not have access to small dollar loa",Yes,"The investment memos provided by CIM, demostrate the firm's diligence in not only potential financial returns, but also intended impact. ",Yes,CIM’s Impact Assessment system identifies and reports on impact businesses across 8 areas of impact with 74 unique tags. The firm aligns impact metrics with industry-wide reporting standards such as the CDFI Fund Transaction Level Report and IRIS standard,x,x,(blank),(blank),x,3,"-CIM's frameworks aims to answer the following fundamental questions: what is the intended impact, who experiences the intended impact and how significant is the intended impact. These fundamental questions are addressed in the 'Social Impact' or 'Impact'",x,(blank),x,(blank),N/A,2,"- 7. CIM ICOM - MPower, pg 7: risk-MP’s model may contribute to human capital flight (i.e. ‘brain drain)’ in the home country; estimated risk level-low; [IMPACT RISK] mitigants-Data from MP’s closest competitor, Prodigy, shows that while some internationa",,Yes,Yes,Yes,No,No,No,No,Yes,No,No,CDFI Fund,No,No
,Acqua Group,MODERATE,Asset Manager (Impact Only),Yes,"1. Establish a BAU scenario for materials impacted, landfilled tonnage, emissions avoided, jobs created, tip fees and commodity sales, and households represented.
2. Forecast the impacts of CLIF investment in all of the above categories. (Impact Assessmen",Yes,"Impact Measurement (by 2026 Exit)
- Cumulative tons diverted from landfill 1,200,000
- Cumulative GHG avoided (tons) 3,400,000
- Incremental tons diverted from landfill 200,000
- Households served 560,000 (Balcones IC Approval, pp.2)

Balcones Impact Proj",Yes,Balcones Impact Projections,No,"Working with the IMP+ACT Alliance and the Impact Management Project to assess all of the Closed Loop Funds by the IMP Framework.
- Foresee scale and duration being achieved, but depth will be a trade-off. Example: plastic will be used/remanufactured – red",Yes,"All CLP funds track IRIS metrics as outlined by the Global Impact Investment Network (GIIN). (CLP 2019 Impact Report, pp.42)

Project impacts on the following metrics, where applicable: landfilled material diversion (tons), recovery/return to supply chain",x,x,(blank),(blank),(blank),2,"Impact Measurement (by 2026 Exit)
- Cumulative tons diverted from landfill 1,200,000
- Cumulative GHG avoided (tons) 3,400,000
- Incremental tons diverted from landfill 200,000
- Households served 560,000 (Balcones IC Approval, pp.2)

Impact Measurement
-",(blank),x,(blank),x,N/A,2,"i. Relative sizing of the challenge addressed

ii. Opportunities to increase impact

1. Establish a BAU scenario for materials impacted, landfilled tonnage, emissions avoided, jobs created, tip fees and commodity sales, and households represented.
2. Fore",,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No
,Acqua Group,MODERATE,Asset Manager (Diversified),Yes,"At the platform level, no (i.e., no aggregated impact expectations at platform level, though the IMP five dimensions are used consistently to evaluate all managers).

At the fund manager level, yes. The Impact Assessment Memo completed for each manager ca",Yes,"At the platform level, no.

At the fund manager level, yes. The Impact DDQ require fund managers to define their expected impact and relevant impact KPIs. Qualitative assessments of expected impact are captured in the Impact Assessment Memo using the IMP ",Yes,"At the platform level, no.

At the fund manager level, yes. The Impact DDQ require fund managers to define their expected impact and relevant impact KPIs. Impact Assessment Memo captures qualitative expected impact using IMP dimensions of impact. 

[NCN 2",No,"At the platform level, TBD. 

At the fund manager level, TBD. While all products require IS&P/Product Committee review of the Impact Assessment Memo and approval to obtain the 'impact' label, it is not clear how the Impact Assessment Memo is completed usi",Yes,"At the platform level, yes. CS uses the IMP dimensions of impact. That said, CS is not prescriptive about industry standards for manager use of impact KPIs.

At the fund manager level, yes. Impact DDQ asks what industry standards manager is aligned with i",x,x,(blank),x,x,4,"At the platform level, no. 

At the fund manager level, yes. Impact Assessment Memo articulates impact using IMP dimensions of impact, although unclear how some of this information is collected if left out of the Impact DDQ (i.e., parts of the IAM are fil",(blank),(blank),(blank),N/A,N/A,0,"At the platform level, no these criteria are not satisfied. 

At the fund manager level, no these criteria are not satisfied.",,No,Yes,Yes,No,No,No,No,No,No,No,No,Yes,Yes
